,Имя,Ссылка,Цена,Адрес,Описание,Общая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Строительная серия,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Обременения,Кадастровый номер,Площадь,Тип помещения,Парковка,Собственников,Жилая площадь,Мусоропровод,Продаётся с мебелью,Балкон/лоджия,Количество лифтов,Газоснабжение,Размер доли
0,"2-комн. квартира, 45,9 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/309364361/,1 600 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Союзная ул., 22На карте","Продаётся 2-комнатная квартира. Есть вся необходимая для жизни мебель и техника. Окна выходят во двор, двор тихий. Школа, сад, магазины, банк, почта - в шаговой доступности","45,9 м²",5 м²,1 из 2,1958,Вторичка,"2,7 м",1 совмещенный,Во двор,Без ремонта,Индивидуальный проект,Кирпичный,Деревянные,3,Центральное,Нет,Нет,42:32:0101005:***,"45,9 м²",Жилое,,,,,,,,,
1,"2-комн. квартира, 43,4 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/305564238/,3 300 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Обручева, 17На карте","Продам квартиру, комнаты изолированные. 1 этаж, но высокий цоколь, окна выходят на полянку, никто под окнами не ходит, домофон не мешает, так как окна на другую сторону. 
Установлены 2 двери в коридоре (входная и межкомнатная), поэтому в квартире тихо, не слышно соседей, которые заходят в подъезд. 
Квартира теплая, светлая, сухая. 
Рядом 32 школа, садик, пункты выдачи озон и вайлдберрис, магазины монетка, мария-ра, красное белое.
В прошлом году поменяли линолеум в коридоре. В этом году заменены унитаз, обои в коридоре, спальне, на кухне, также куплены ванна, экран под ванну, линолеум на кухню, но обстоятельства изменились и решили не менять (оставлю новым хозяевам)
Торг присутствует после осмотра. 
Квартира освобождена. 
Документы к продаже готовы, 1 взрослый собственник. Подходит под все виды расчета.
Узнать больше  ","43,4 м²","5,3 м²",1,1972,Вторичка,"2,6 м",1 раздельный,На улицу,Косметический,1-464,Панельный,Железобетонные,6,Центральное,Нет,Нет,42:32:0103013:***,"43,4 м²",Жилое,Наземная,1,,,,,,,
2,просторная 4к с большой прихожей,https://kemerovo.cian.ru/sale/flat/300926183/,5 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Союзная ул., 67На карте","Прeдлагаем к пpoдаже  простoрную,cветлую и тeплую кваpтиру с окнaми нa 2 cтopoны.

 Пpостоpнaя закрывающaяся вхoдная плoщадка на 3  кваpтиpы. 

В квартире уcтановлены пластикoвые oкнa, нaтяжныe потолки,зaменeны батарeи.  
 Mагазины, Сбepбанк и пoчтa , школа и дeтский сад в шaгoвой доступнoсти. 


В собственности более 5 лет. 2 взрослых собственника. Документы готовы к продаже, быстрый выход на сделку.
Узнать больше  ",86 м²,"8,9 м²",2,1982,Вторичка,"2,6 м",1 раздельный,На улицу и двор,Косметический,111-97,Кирпичный,Железобетонные,7,Центральное,Нет,Нет,42:32:0101005:***,86 м²,Жилое,Наземная,3,"53,4 м²",Да,,,,,
3,"1-комн. квартира, 26 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/314127343/,1 350 000 ₽,"Кемеровская область, Прокопьевск, р-н Зенковский, ул. Черных, 20На карте","Продается квартира в Зенковском районе,Красный углекоп.В квартире нужен косметический ремонт.В квартире никто не живет.Рядом находится музыкальная школа,разные магазины,аптека,школа,детский садик.Все что есть из мебели и техники остается при продаже новым хозяевам.Приходите, смотрите!",26 м²,6 м²,3 из 3,1963,Вторичка,"2,5 м",,На улицу,Без ремонта,111-86,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,Наземная,,18 м²,,Да,,,,
4,2-к. квартира у Школы 71,https://kemerovo.cian.ru/sale/flat/310728535/,1 850 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Ясная Поляна микрорайонНа карте","Собственник. Торг. Продаётся уютная 2-к квартира на Ясной Поляне.
Рядом школа, остановки транспорта, магазины и аптеки.
Общая площадь составляет 41.5 кв. м, квартира на 2 этаже.
В квартире сделан косметический ремонт, совмещенный санузел.
Дом в хорошем состоянии, тёплый. Установлены счетчики ГВ и ХВ.","41,5 м²","5,6 м²",2 из 2,,Вторичка,,1 совмещенный,Во двор,Косметический,,,,,,,,,,,,,,,,1 балкон,,,
5,2комнатна квартира,https://kemerovo.cian.ru/sale/flat/314796114/,1 950 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. 2-я Кирпичная, 7АНа карте","в квартире требуется ремонт.
квартира сама по себе ооочень теплая ,2 этаж.Соседи все хорошие.
есть балкон.
хороший двор,удобный.
рядом магазины,остановки все,школы,детские сады.Всё рядом.",41 м²,"5,8 м²",2 из 5,1952,Вторичка,"2,5 м",1 раздельный,На улицу,Без ремонта,Индивидуальный проект,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,Наземная,,,,Да,1 балкон,,,
6,"2-х комн кв Прокопьевск,Гайдара,9",https://kemerovo.cian.ru/sale/flat/313488262/,3 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Гайдара, 9На карте","2-х комнатная кв. город Прокопьевск, ул. Гайдара, дом 9
46,1 кв.м.-общая площадь,
30,5 кв.м.-жилая площадь;
6,3 кв.м.-площадь кухни.
4-ый этаж 5-ти этажного кирпичного дома.
Просторная гостиная 18,8 кв.м., спальня 13,7 кв.м.,
В нашей квартире много плюсов:
-установлены стеклопакеты;
-окна на обе стороны дома;
-планировка-трамвай (легко сделать изолированные комнаты при Вашем желании);
-хороший кафель до потолка в раздельном санузле;
-гардеробная напротив входа в квартиру, можно сделать просторный шкаф-купе;
-застекленный балкон (во двор);
Квартира на чистой продаже, документы готовы к сделке.
Остановка в шаговой доступности, рядом школа, детсад, банки, торговые центры.
Квартира не в залоге, обременений нет, 1 взрослый собственник, более 5-ти лет в собственности (полная стоимость в договоре,
Для Вашего удобства представлены фотографии, планировка, экспликация и видео обзор квартиры .
Приглашаем на просмотр квартиры в удобное для вас время (по предварительной договорённости).
Рассмотрим продажу квартиры как за наличный расчет, так и по ипотеке любого банка.
При необходимости поможем оформить ипотеку (даже в сложной ситуации) при покупке данной квартиры.
Желаем вам приятного просмотра нашей квартиры и скорого выхода на сделку.
Узнать больше  ","46,1 м²","6,3 м²",4,1974,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-86,Кирпичный,Железобетонные,8,Центральное,Нет,Нет,42:32:0103013:***,"46,1 м²",Жилое,,1,"30,5 м²",,,1 балкон,,,
7,"2-комн. квартира, 52,3 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/312078619/,4 200 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Тырган микрорайон, 10-й микрорайон, 10На карте","Продажа квартиры от собственника. В квартире косметический ремонт, все трубы медные, батареи биметалл. Окна расположены на две стороны. Застеклённый балкон со шкафчиками. Квартира светлая, тёплая. При продаже частично остаётся мебель. Хорошие, не шумные соседи.
Отличное месторасположение квартиры, рядом магазины, школа, два садика.  Квартира без обременений, юридически чистая.","52,3 м²","8,5 м²",4,,Вторичка,,1 раздельный,На улицу и двор,Косметический,,,,,,,Нет,42:32:0103013:***,"52,3 м²",Жилое,,1,,,,1 балкон,,,
8,"2-комн. квартира, 50,1 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/314385757/,4 200 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Тырган микрорайон, 10-й микрорайон, 5На карте","Прoдaм 2-х кoмнaтную  (+2 теплых жилых балкона).В квартире остаётся большая часть мебели.Отличная инфраструктура.Квартира сухая, солнечная и очень очень тёплая .","50,1 м²","9,5 м²",6 из 9,,Вторичка,"2,8 м",1 раздельный,На улицу,Евроремонт,,,,,,,,,,,Наземная,,,Да,Да,2 лоджии,1 пассажирский,,
9,Продаётся 4х комнатная квартира,https://kemerovo.cian.ru/sale/flat/314363378/,5 200 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Ясная Поляна микрорайонНа карте","Продам квартиру,чистая,светлая,сухая,уютная.Сделан хороший ремонт,сантехника и электричество в порядке.Квартира светлая и тёплая.На этаже единственная квартира,стены толстые,соседи не беспокоят,хороший двор.Вся инфраструктура в шаговой доступности(школа,дет сад,магазины,транспорт)хороший район,спокойный.Оставим часть мебели.Также продаётся капитальный гараж,стоимость обговаривается отдельно.Продажа в связи с переездом.",81 м²,"6,5 м²",1 из 3,,Вторичка,3 м,1 совмещенный,На улицу и двор,Дизайнерский,,,,,,,,,,,,,,,Да,,,,
