,name,url
0,"2-комн. квартира, 45,9 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/309364361/
1,"2-комн. квартира, 43,4 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/305564238/
2,просторная 4к с большой прихожей,https://kemerovo.cian.ru/sale/flat/300926183/
3,"1-комн. квартира, 26 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/314127343/
4,2-к. квартира у Школы 71,https://kemerovo.cian.ru/sale/flat/310728535/
5,2комнатна квартира,https://kemerovo.cian.ru/sale/flat/314796114/
6,"2-х комн кв Прокопьевск,Гайдара,9",https://kemerovo.cian.ru/sale/flat/313488262/
7,"2-комн. квартира, 52,3 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/312078619/
8,"2-комн. квартира, 50,1 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/314385757/
9,Продаётся 4х комнатная квартира,https://kemerovo.cian.ru/sale/flat/314363378/
10,"Продается 5-комн. квартира, 101,1",https://kemerovo.cian.ru/sale/flat/312310702/
11,"3-комн. квартира, 71,9 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/313817064/
12,"3-комн. квартира, 57 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/313690482/
13,"3-комн. квартира, 65,8 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/313622776/
14,"3-комн. квартира, 65 м², 5/9 этаж",https://kemerovo.cian.ru/sale/flat/307520229/
15,"Студия, 38,8 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/309059724/
16,"1-комн. квартира, 30 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/299680867/
17,"3-комн. квартира, 52,1 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/311415711/
18,"1-комн. квартира, 30,5 м², 2/2 этаж",https://kemerovo.cian.ru/sale/flat/312501290/
19,"2-комн. квартира, 44,1 м², 1/4 этаж",https://kemerovo.cian.ru/sale/flat/303051213/
20,"1-комн. квартира, 20,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/313605412/
21,"2-комн. квартира, 43,4 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/307666488/
22,"2-комн. квартира, 59 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/306183972/
23,"1-комн. квартира, 27 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/310812341/
24,"2-комн. квартира, 58,6 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/313974571/
25,"2-комн. квартира, 23,8 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/308217786/
26,"3-комн. квартира, 71 м², 2/2 этаж",https://kemerovo.cian.ru/sale/flat/300809132/
27,"1-комн. квартира, 33 м², 8/11 этаж",https://kemerovo.cian.ru/sale/flat/312400242/
28,"2-комн. квартира, 43,8 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/306761545/
29,"2-комн. квартира, 44,1 м², 1/4 этаж",https://kemerovo.cian.ru/sale/flat/303051213/
30,"3-комн. квартира, 75,1 м², 2/2 этаж",https://kemerovo.cian.ru/sale/flat/300546091/
31,"2-комн. квартира, 47 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/304940998/
32,"1-комн. квартира, 20,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/313605412/
33,"3-комн. квартира, 71 м², 2/2 этаж",https://kemerovo.cian.ru/sale/flat/300809132/
34,"4-комн. квартира, 80,6 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/298450289/
35,"2-комн. квартира, 43,4 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/307666488/
36,"2-комн. квартира, 49,9 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/301048419/
37,"2-комн. квартира, 44 м², 2/4 этаж",https://kemerovo.cian.ru/sale/flat/313452282/
38,"2-комн. квартира, 59 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/306183972/
39,"4-комн. квартира, 76,8 м², 6/10 этаж",https://kemerovo.cian.ru/sale/flat/301200114/
40,"2-комн. квартира, 44,8 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307652934/
41,"2-комн. квартира, 58,6 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/313974571/
42,"3-комн. квартира, 65 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/305307445/
43,"3-комн. квартира, 89,2 м², 4/9 этаж",https://kemerovo.cian.ru/sale/flat/292134430/
44,"2-комн. квартира, 23,8 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/308217786/
45,"3-комн. квартира, 63,3 м², 8/9 этаж",https://kemerovo.cian.ru/sale/flat/314619406/
46,"2-комн. квартира, 52,2 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/307384756/
47,"1-комн. квартира, 33 м², 8/11 этаж",https://kemerovo.cian.ru/sale/flat/312400242/
48,"2-комн. квартира, 50 м², 1/10 этаж",https://kemerovo.cian.ru/sale/flat/308047065/
49,"1-комн. квартира, 27,8 м², 1/4 этаж",https://kemerovo.cian.ru/sale/flat/314184360/
50,"2-комн. квартира, 40,7 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/314176592/
51,"2-комн. квартира, 45,3 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/313886847/
52,"2-комн. квартира, 45,1 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/303240479/
53,"3-комн. квартира, 76,8 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/314224900/
54,"1-комн. квартира, 34,3 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/313615814/
55,"2-комн. квартира, 50 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/305614079/
56,"2-комн. квартира, 49,8 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/310671316/
57,"2-комн. квартира, 45,3 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/313886847/
58,"2-комн. квартира, 44,7 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/306195598/
59,"1-комн. квартира, 32 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307510567/
60,"3-комн. квартира, 71,7 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/314133923/
61,"2-комн. квартира, 43 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/305033935/
62,"3-комн. квартира, 75,1 м², 2/2 этаж",https://kemerovo.cian.ru/sale/flat/300546091/
63,"2-комн. квартира, 44,7 м², 2/2 этаж",https://kemerovo.cian.ru/sale/flat/313954844/
64,"3-комн. квартира, 52,3 м², 3/4 этаж",https://kemerovo.cian.ru/sale/flat/313662854/
65,"1-комн. квартира, 31 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/307510566/
66,"2-комн. квартира, 41,4 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/314566076/
67,"2-комн. квартира, 44 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/308026697/
68,"2-комн. квартира, 53,4 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/309352249/
69,"2-комн. квартира, 43,9 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/314655310/
70,"3-комн. квартира, 60,2 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/304541977/
71,"2-комн. квартира, 43,8 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/306761545/
72,"3-комн. квартира, 61,9 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/314610784/
73,"2-комн. квартира, 45,7 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/305890490/
74,"2-комн. квартира, 41,8 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/303502498/
75,"2-комн. квартира, 43,4 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/314335512/
76,"2-комн. квартира, 42 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/313715070/
77,"3-комн. квартира, 57 м², 2/4 этаж",https://kemerovo.cian.ru/sale/flat/313662838/
78,"3-комн. квартира, 71,2 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/306812544/
79,"2-комн. квартира, 45 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/300126317/
80,"2-комн. квартира, 43,3 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/312642879/
81,"3-комн. квартира, 61 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/300164198/
82,"2-комн. квартира, 49 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/312397669/
83,"4-комн. квартира, 63 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/310435856/
84,"2-комн. квартира, 51,4 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/310352268/
85,"5-комн. квартира, 99,8 м², 6/10 этаж",https://kemerovo.cian.ru/sale/flat/309704115/
86,"2-комн. квартира, 43 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/308371751/
87,"1-комн. квартира, 42 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/313364618/
88,"4-комн. квартира, 61,1 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/301989428/
89,"3-комн. квартира, 63,2 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/309585223/
90,"4-комн. квартира, 60,8 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307384151/
91,"3-комн. квартира, 58,8 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307384972/
92,"2-комн. квартира, 53,7 м², 4/10 этаж",https://kemerovo.cian.ru/sale/flat/310483848/
93,"1-комн. квартира, 37,3 м², 7/9 этаж",https://kemerovo.cian.ru/sale/flat/301147534/
94,"2-комн. квартира, 45 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/313844374/
95,"2-комн. квартира, 41,5 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/297449818/
96,"3-комн. квартира, 58,1 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/294241423/
97,"2-комн. квартира, 43,3 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/299869931/
98,"1-комн. квартира, 38,6 м², 1/3 этаж",https://kemerovo.cian.ru/sale/flat/310248896/
99,"3-комн. квартира, 65,8 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/311120923/
100,"2-комн. квартира, 40,7 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/314176592/
101,"3-комн. квартира, 52,1 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/311415711/
102,"2-комн. квартира, 41,5 м², 3/4 этаж",https://kemerovo.cian.ru/sale/flat/314752354/
103,"2-комн. квартира, 59,1 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/308917351/
104,"3-комн. квартира, 64 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/312616402/
105,"Студия, 38,8 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/309059724/
106,"1-комн. квартира, 30 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/310193773/
107,"2-комн. квартира, 52,2 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/309602694/
108,"3-комн. квартира, 57,6 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/302470481/
109,"2-комн. квартира, 53,4 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/309352249/
110,"1-комн. квартира, 30 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/307342611/
111,"2-комн. квартира, 37,6 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/310548806/
112,"2-комн. квартира, 58,6 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/313974571/
113,"2-комн. квартира, 58,4 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/314777361/
114,"3-комн. квартира, 60,4 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/314335504/
